department,position,scale_point,annual_rat(€)
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,3,"33,844"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,4,"35,403"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,5,"36,946"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,6,"38,331"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,7,"39,365"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,8,"40,749"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,9,"42,093"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,10,"43,223"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_2,11,"44,373"

INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,1,"29,021"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,2,"30,996"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,3,"31,738"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,4,"32,768"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,5,"34,232"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,6,"35,719"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,7,"37,208"
INFORMATION_TECHNOLOGY,PRINT_OPERATOR_1,8,"38,553"

INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,1,"33,403"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,2,"34,543"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,3,"36,605"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,4,"36,967"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,5,"36,987"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,6,"37,353"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,7,"37,714"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,8,"38,072"
INFORMATION_TECHNOLOGY,COMPUTER_LAB_ATTENDANT,9,"38,428"

INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,1,"33,403"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,2,"34,543"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,3,"36,605"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,4,"36,967"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,5,"36,987"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,6,"37,353"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,7,"37,714"
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,8,"38,072"
